jnr	region	name	munnr	year	age	cr	pcl	fecund	ovul	twincr	twinpcl	ca	totcalb	totclut	antov	cweight	day	month	daynr
59	4101	Troms	1920	1981	11	2	0	1	0	1		0	6	0	2	200	4	10	277
81	4101	Troms	1920	1981	10	2	2	1	1	1	1	0	4	2	2	246	7	10	280
472	4101	Troms	1922	1981	4	2	1	1	1	1	0	0	2	1	2	190	8	10	281
475	4101	Troms	1922	1981	1	0	0		0			0	0	0	2	171	0	9	243
476	4101	Troms	1922	1981	3	0	2	0	1		1	0	0	2	2	205	28	9	271
477	4101	Troms	1922	1981	4	2	0	1	0	1		0	4	0	2	210	29	9	272
478	4101	Troms	1922	1981	6	1	0	1	0	0		0	4	0	2	190	29	9	272
481	4101	Troms	1922	1981	1	0	0		0			0	0	0	2	153	30	9	273
483	4101	Troms	1922	1981	2	0	0	0	0			0	0	0	2	120	18	10	291
484	4101	Troms	1922	1981	1	0	0		0			0	0	0	2	170	29	9	272
485	4101	Troms	1922	1981	4	1	1	1	1	0	0	0	2	1	2	196	2	10	275
486	4101	Troms	1922	1981	1	0	1		1		0	0	0	1	2	140	16	10	289
487	4101	Troms	1922	1981	3	0	0	0	0			0	0	0	2	180	7	10	280
70	4101	Troms	1923	1981	3	1	2	1	1	0	1	0	1	2	2	180	18	10	291
630	4101	Troms	1924	1981	10	2	0	1	0	1		0	7	0	2	190	28	9	271
632	4101	Troms	1924	1981	4	2	2	1	1	1	1	0	3	3	2	210	10	10	283
639	4101	Troms	1924	1981	6	1	0	1	0	0		0	2	0	2	224	3	10	276
57	4101	Troms	1924	1981	8	1	1	1	1	0	0	0	4	1	2	240	10	10	283
61	4101	Troms	1924	1981	4	1	1	1	1	0	0	0	2	1	2	230	27	9	270
63	4101	Troms	1924	1981	6	1	2	1	1	0	1	0	1	2	2	200	22	10	295
67	4101	Troms	1924	1981	17	1	1	1	1	0	0	0	6	1	2	215	27	9	270
74	4101	Troms	1924	1981	7	2	2	1	1	1	1	0	4	2	2	200	16	10	289
133	4101	Troms	1924	1981	7	1	0	1	0	0		0	4	0	2	254	7	10	280
72	4101	Troms	1925	1981	6	1	0	1	0	0		0	2	0	2	240	27	9	270
134	4101	Troms	1925	1981	1	0	0		0			0	0	0	2	130	18	10	291
58	4101	Troms	1933	1981	6	1	0	1	0	0		0	4	0	2	260	29	9	272
143	4101	Troms	1933	1981	5	2	1	1	1	1	0	0	3	1	2	200	18	10	291
821	4101	Troms	1922	1982	3	0	0	0	0			0	0	0	2	176	28	9	271
824	4101	Troms	1922	1982	8	2	0	1	0	1		0	5	0	2	213	27	9	270
829	4101	Troms	1922	1982	2	0	0	0	0			0	0	0	2	190	30	9	273
831	4101	Troms	1922	1982	3	2	1	1	1	1	0	0	3	1	2	0	19	10	292
832	4101	Troms	1922	1982	4	1	0	1	0	0		0	1	0	2	205	2	10	275
836	4101	Troms	1922	1982	4	2	0	1	0	1		0	4	0	2	195	2	10	275
837	4101	Troms	1922	1982	15	0	1	1	1		0	0	7	1	2	222	17	10	290
840	4101	Troms	1922	1982	3	1	0	1	0	0		0	1	0	2	188	28	9	271
845	4101	Troms	1922	1982	1	0	0		0			0	0	0	2	150	28	9	271
848	4101	Troms	1922	1982	3	1	1	1	1	0	0	0	1	1	2	180	16	10	289
851	4101	Troms	1924	1982	1	0	0		0			0	0	0	2	142	30	9	273
852	4101	Troms	1924	1982	1	0	0		0			0	0	0	2	125	22	10	295
853	4101	Troms	1924	1982	13	2	0	1	0	1		0	11	0	2	200	10	10	283
860	4101	Troms	1924	1982	3	1	0	1	0	0		0	2	0	2	210	27	10	300
862	4101	Troms	1924	1982	4	1	2	1	1	0	1	0	4	2	2	204	17	10	290
863	4101	Troms	1924	1982	8	2	0	1	0	1		0	9	0	2	214	29	9	272
869	4101	Troms	1924	1982	7	2	0	1	0	1		0	3	0	2	230	2	10	275
232	4101	Troms	1902	1983	9	1	0	1	0	0		0	8	0	2	0	25	9	268
365	4101	Troms	1922	1983	4	1	1	1	1	0	0	0	2	1	2	213	3	10	276
368	4101	Troms	1922	1983	2	1	0	1	0	0		0	1	0	2	180	26	9	269
370	4101	Troms	1922	1983	3	1	1	1	1	0	0	0	1	1	2	116	30	9	273
371	4101	Troms	1922	1983	4	2	1	1	1	1	0	0	3	1	2	260	29	9	272
372	4101	Troms	1922	1983	1	0	0		0			0	0	0	2	200	28	9	271
375	4101	Troms	1922	1983	1	0	0		0			0	0	0	2	140	4	10	277
378	4101	Troms	1922	1983	16	0	0	1	0			0	3	0	2	216	25	9	268
380	4101	Troms	1922	1983	8	2	2	1	1	1	1	0	6	3	2	0	2	10	275
381	4101	Troms	1922	1983	10	1	0	1	0	0		0	4	0	2	264	5	10	278
382	4101	Troms	1922	1983	16	1	0	1	0	0		0	6	0	2	160	2	10	275
383	4101	Troms	1922	1983	2	1	0	1	0	0		0	1	0	2	213	25	9	268
384	4101	Troms	1922	1983	10	0	0	1	0			0	3	0	2	232	25	9	268
385	4101	Troms	1922	1983	4	0	0	1	0			0	1	0	2	0	27	9	270
386	4101	Troms	1922	1983	14	2	0	1	0	1		0	2	0	2	244	29	9	272
387	4101	Troms	1922	1983	5	1	0	1	0	0		0	2	0	2	210	26	9	269
389	4101	Troms	1922	1983	2	0	0	0	0			0	0	0	2	232	27	9	270
390	4101	Troms	1922	1983	11	1	0	1	0	0		0	6	0	2	210	27	9	270
392	4101	Troms	1922	1983	1	0	0		0			0	0	0	2	150	27	9	270
394	4101	Troms	1922	1983	12	1	0	1	0	0		0	3	0	2	0	2	10	275
396	4101	Troms	1922	1983	1	0	0		0			0	0	0	2	0	1	10	274
398	4101	Troms	1922	1983	3	0	0	1	0			0	2	0	2	210	26	9	269
210	4101	Troms	1923	1983	2	0	0	0	0			0	0	0	2	214	27	9	270
211	4101	Troms	1923	1983	2	0	0	0	0			0	0	0	2	194	9	10	282
212	4101	Troms	1923	1983	3	1	2	1	1	0	1	0	1	2	2	173	1	10	274
355	4101	Troms	1924	1983	3	1	2	1	1	0	1	0	1	3	2	190	25	9	268
359	4101	Troms	1924	1983	3	1	0	1	0	0		0	1	0	2	170	28	9	271
360	4101	Troms	1924	1983	1	0	0		0			0	0	0	2	149	6	10	279
399	4101	Troms	1924	1983	2	0	0	0	0			0	0	0	2	190	27	9	270
401	4101	Troms	1924	1983	4	2	0	1	0	1		0	3	0	2	215	4	10	277
403	4101	Troms	1924	1983	1	0	0		0			0	0	0	2	0	83	9	326
404	4101	Troms	1924	1983	5	0	0	0	0			0	0	0	2	230	27	9	270
406	4101	Troms	1924	1983	12	1	0	1	0	0		0	7	0	2	204	28	9	271
407	4101	Troms	1924	1983	4	0	1	0	1		0	0	0	1	2	204	27	9	270
409	4101	Troms	1924	1983	10	1	2	1	1	0	1	0	13	2	2	246	5	10	278
229	4101	Troms	1924	1983	2	0	1	0	1		0	0	0	1	2	225	25	9	268
231	4101	Troms	1924	1983	1	0	0		0			0	0	0	2	147	25	9	268
207	4101	Troms	1925	1983	1	0	0		0			0	0	0	2	141	2	10	275
245	4101	Troms	1926	1983	3	1	1	1	1	0	0	0	1	1	2	0	1	10	274
203	4101	Troms	1931	1983	3	1	2	1	1	0	1	0	1	2	2	0	5	10	278
226	4101	Troms	1933	1983	1	0	1		1		0	0	0	1	2	0	2	10	275
228	4101	Troms	1902	1984	2	0	0	0	0			0	0	0	2	114	27	9	271
1502	4101	Troms	1922	1984	8	0	0	0	0			0	0	0	2	210	29	9	273
1503	4101	Troms	1922	1984	1	0	0		0			0	0	0	2	155	28	9	272
1506	4101	Troms	1922	1984	5	2	2	1	1	1	1	0	6	2	2	236	25	9	269
1508	4101	Troms	1922	1984	5	2	1	1	1	1	0	0	1	1	2	232	30	9	274
1509	4101	Troms	1922	1984	8	2	0	1	0	1		0	3	0	2	195	30	9	274
1510	4101	Troms	1922	1984	4	1	1	1	1	0	0	0	1	1	2	202	29	9	273
1513	4101	Troms	1922	1984	3	2	0	1	0	1		0	2	0	2	210	25	9	269
1514	4101	Troms	1922	1984	2	0	1	0	1		0	0	0	1	2	165	29	9	273
1515	4101	Troms	1922	1984	10	2	0	1	0	1		0	2	0	2	220	29	9	273
1516	4101	Troms	1922	1984	2	0	2	0	1		1	0	0	2	2	176	26	9	270
1518	4101	Troms	1922	1984	1	0	2		1		1	0	0	2	2	170	4	10	278
1519	4101	Troms	1922	1984	6	2	0	1	0	1		0	1	0	2	223	29	9	273
1536	4101	Troms	1922	1984	2	0	0	0	0			0	0	0	2	0	22	10	296
1521	4101	Troms	1924	1984	1	0	0		0			0	0	0	2	114	22	10	296
1522	4101	Troms	1924	1984	1	0	0		0			0	0	0	2	150	1	10	275
1523	4101	Troms	1924	1984	2	0	2	0	1		1	0	0	2	2	190	7	10	281
1526	4101	Troms	1924	1984	4	2	2	1	1	1	1	0	2	2	2	0	21	10	295
1528	4101	Troms	1924	1984	5	0	2	1	1		1	0	3	2	2	210	8	10	282
1532	4101	Troms	1924	1984	3	1	1	1	1	0	0	0	1	1	2	202	27	9	271
1540	4101	Troms	1924	1984	9	2	0	1	0	1		0	5	0	2	220	28	9	272
224	4101	Troms	1922	1985	1	0	0		0			0	0	0	2	151	26	9	269
227	4101	Troms	1922	1985	8	2	0	1	0	1		0	10	0	2	178	27	9	270
228	4101	Troms	1922	1985	11	1	2	1	1	0	1	0	6	2	2	210	5	10	278
229	4101	Troms	1922	1985	4	1	0	1	0	0		0	4	0	2	227	28	9	271
230	4101	Troms	1922	1985	4	1	0	1	0	0		0	3	0	2	178	5	10	278
233	4101	Troms	1922	1985	1	0	0		0			0	0	0	2	160	25	9	268
234	4101	Troms	1922	1985	1	0	0		0			0	0	0	2	145	29	9	272
235	4101	Troms	1922	1985	3	0	0	0	0			0	0	0	2	182	2	10	275
237	4101	Troms	1922	1985	4	1	0	1	0	0		0	2	0	2	0	7	10	280
203	4101	Troms	1924	1985	1	0	0		0			0	0	0	2	175	7	10	280
204	4101	Troms	1924	1985	3	1	0	1	0	0		0	1	0	2	185	7	10	280
208	4101	Troms	1924	1985	3	1	0	1	0	0		0	1	0	2	0	3	10	276
209	4101	Troms	1924	1985	2	0	0	0	0			0	0	0	2	210	1	10	274
210	4101	Troms	1924	1985	2	0	0	0	0			0	0	0	2	163	1	10	274
211	4101	Troms	1924	1985	4	1	0	1	0	0		0	4	0	2	280	8	10	281
213	4101	Troms	1924	1985	1	0	0		0			0	0	0	2	161	28	9	271
214	4101	Troms	1924	1985	6	1	2	1	1	0	1	0	5	2	2	206	19	10	292
215	4101	Troms	1924	1985	6	1	0	1	0	0		0	6	0	2	205	25	9	268
219	4101	Troms	1924	1985	14	1	0	1	0	0		0	2	0	2	190	27	9	270
220	4101	Troms	1924	1985	7	1	2	1	1	0	1	0	6	2	2	170	22	10	295
302	4101	Troms	1902	1986	6	1	0	1	0	0		0	1	0	2	185	4	10	277
308	4101	Troms	1902	1986	8	1	0	1	0	0		0	7	0	2	235	29	9	272
310	4101	Troms	1902	1986	3	1	0	1	0	0		0	1	0	2	240	27	9	270
347	4101	Troms	1922	1986	2	0	1	0	1		0	0	0	1	2	165	27	9	270
360	4101	Troms	1922	1986	6	1	0	1	0	0		0	1	0	2	175	27	9	270
364	4101	Troms	1922	1986	8	1	0	1	0	0		0	5	0	2	201	28	9	271
365	4101	Troms	1922	1986	8	2	0	1	0	1		0	6	0	2	223	25	9	268
368	4101	Troms	1922	1986	11	2	0	1	0	1		0	10	0	2	205	28	9	271
369	4101	Troms	1922	1986	9	1	0	1	0	0		0	4	0	2	0	29	9	272
390	4101	Troms	1923	1986	9	2	0	1	0	1		0	7	0	2	210	27	9	270
391	4101	Troms	1923	1986	6	1	0	1	0	0		0	3	0	2	205	5	10	278
332	4101	Troms	1924	1986	2	0	0	0	0			0	0	0	2	0	25	9	268
337	4101	Troms	1924	1986	7	2	0	1	0	1		0	5	0	2	185	25	9	268
338	4101	Troms	1924	1986	4	1	0	1	0	0		0	4	0	2	216	25	9	268
340	4101	Troms	1924	1986	5	1	0	1	0	0		0	4	0	2	190	29	9	272
341	4101	Troms	1924	1986	2	1	0	1	0	0		0	1	0	2	208	28	9	271
343	4101	Troms	1924	1986	2	0	0	0	0			0	0	0	2	190	28	9	271
397	4101	Troms	1924	1986	4	1	2	1	1	0	1	0	4	2	2	0	23	10	296
398	4101	Troms	1924	1986	6	1	0	1	0	0		0	4	0	2	220	26	9	269
325	4101	Troms	1925	1986	6	2	1	1	1	1	0	0	4	1	2	0	2	10	275
331	4101	Troms	1926	1986	2	0	0	0	0			0	0	0	2	0	5	10	278
311	4101	Troms	1933	1986	2	0	0	0	0			0	0	0	2	0	26	9	269
314	4101	Troms	1933	1986	3	0	0	0	0			0	0	0	2	0	27	9	270
321	4101	Troms	1933	1986	3	0	2	1	1		1	0	2	2	2	245	16	10	289
19000062	4101	Troms	1902	1989	9	0	2	0	1		1	0	0	2	2	194	20	10	293
19000079	4101	Troms	1902	1989	11	1	0	1	0	0		0	3	0	2	212	27	9	270
19000181	4101	Troms	1902	1989	4	1	1	1	1	0	0	0	2	1	2	0	8	10	281
19000064	4101	Troms	1920	1989	5	2	2	1	1	1	1	0	5	2	2	250	28	9	271
19000065	4101	Troms	1920	1989	1	0	0		0			0	0	0	2	120	25	9	268
19000067	4101	Troms	1920	1989	3	2	1	1	1	1	0	0	3	1	2	226	27	9	270
19000006	4101	Troms	1922	1989	2	0	1	0	1		0	0	0	1	2	0	18	10	291
19000137	4101	Troms	1922	1989	1	0	0		0			0	0	0	2	158	27	9	270
19000191	4101	Troms	1922	1989	4	1	1	1	1	0	0	0	1	1	2	237	27	9	270
19000193	4101	Troms	1922	1989	4	0	1	1	1		0	0	2	1	2	216	26	9	269
19000201	4101	Troms	1922	1989	5	2	0	1	0	1		0	5	0	2	236	25	9	268
19000216	4101	Troms	1922	1989	6	2	0	1	0	1		0	2	0	2	249	1	10	274
19000085	4101	Troms	1923	1989	3	1	1	1	1	0	0	0	2	1	2	180	23	10	296
19000022	4101	Troms	1924	1989	16	1	0	1	0	0		0	1	0	2	222	26	9	269
19000024	4101	Troms	1924	1989	3	0	0	0	0			0	0	0	2	165	18	10	291
19000028	4101	Troms	1924	1989	13	1	2	1	1	0	1	0	11	4	2	197	4	10	277
19000029	4101	Troms	1924	1989	4	2	2	1	1	1	1	0	3	2	2	0	3	10	276
19000032	4101	Troms	1924	1989	5	1	0	1	0	0		0	3	0	2	213	25	9	268
19000033	4101	Troms	1924	1989	3	0	2	0	1		1	0	0	2	2	204	30	9	273
19000039	4101	Troms	1924	1989	6	2	0	1	0	1		0	4	0	2	180	26	9	269
19000041	4101	Troms	1924	1989	1	0	0		0			0	0	0	2	133	28	9	271
19000043	4101	Troms	1924	1989	2	0	1	1	1		0	0	1	1	2	175	1	10	274
19000045	4101	Troms	1924	1989	5	1	2	1	1	0	1	0	3	2	2	206	19	10	292
19000095	4101	Troms	1924	1989	1	0	0		0			0	0	0	2	135	16	10	289
19000099	4101	Troms	1924	1989	1	0	1		1		0	0	0	1	2	169	21	10	294
19000101	4101	Troms	1924	1989	2	0	0	0	0			0	0	0	2	193	30	9	273
19000107	4101	Troms	1924	1989	1	0	0		0			0	0	0	2	140	28	9	271
19000115	4101	Troms	1924	1989	2	0	2	0	1		1	0	0	2	2	180	28	9	271
19000118	4101	Troms	1924	1989	5	1	1	1	1	0	0	0	3	1	2	208	5	10	278
19000122	4101	Troms	1924	1989	1	0	0		0			0	0	0	2	140	1	10	274
19000071	4101	Troms	1925	1989	3	0	1	0	1		0	0	0	1	2	131	1	10	274
19000182	4101	Troms	1926	1989	1	0	0		0			0	0	0	2	120	26	9	269
19000183	4101	Troms	1926	1989	1	0	1		1		0	0	0	1	2	0	30	9	273
19000184	4101	Troms	1926	1989	1	0	0		0			0	0	0	2	136	1	10	274
19000154	4101	Troms	1931	1989	8	0	2	1	1		1	0	7	2	2	0	23	10	296
19000167	4101	Troms	1931	1989	4	2	2	1	1	1	1	0	3	2	2	200	22	10	295
19000168	4101	Troms	1931	1989	2	0	1	0	1		0	0	0	1	2	190	25	9	268
19000169	4101	Troms	1931	1989	1	0	1		1		0	0	0	1	2	158	28	9	271
19000170	4101	Troms	1931	1989	12	2	0	1	0	1		0	8	0	2	310	27	9	270
19000076	4101	Troms	1933	1989	5	1	1	1	1	0	0	0	2	1	2	185	18	10	291
19000081	4101	Troms	1933	1989	3	2	1	1	1	1	0	0	3	1	2	183	7	10	280
19000188	4101	Troms	1933	1989	5	2	0	1	0	1		0	6	0	2	200	26	9	269
19000128	4101	Troms	1920	1990	8	0	0	0	0			0	0	0	2	220	25	9	268
19000129	4101	Troms	1920	1990	4	0	0	0	0			0	0	0	2	170	2	10	275
19000130	4101	Troms	1920	1990	6	0	0	0	0			0	0	0	2	220	20	10	293
19000131	4101	Troms	1920	1990	11	0	0	0	0			0	0	0	2	212	28	9	271
19000066	4101	Troms	1922	1990	1	0	0		0			0	0	0	2	153	4	10	277
19000067	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	190	5	10	278
19000068	4101	Troms	1922	1990	1	0	0		0			0	0	0	2	200	2	10	275
19000069	4101	Troms	1922	1990	3	0	0	0	0			0	0	0	2	207	3	10	276
19000070	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	161	1	10	274
19000073	4101	Troms	1922	1990	5	0	0	0	0			0	0	0	2	216	29	9	272
19000074	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	238	30	9	273
19000075	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	220	25	9	268
19000077	4101	Troms	1922	1990	1	0	0		0			0	0	0	2	158	8	10	281
19000078	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	171	28	9	271
19000096	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	188	28	9	271
19000097	4101	Troms	1922	1990	1	0	0		0			0	0	0	2	120	26	9	269
19000114	4101	Troms	1922	1990	4	0	0	0	0			0	0	0	2	237	27	9	270
19000115	4101	Troms	1922	1990	8	0	0	0	0			0	0	0	2	240	30	9	273
19000116	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	162	25	9	268
19000117	4101	Troms	1922	1990	8	0	0	0	0			0	0	0	2	220	18	10	291
19000118	4101	Troms	1922	1990	6	0	0	0	0			0	0	0	2	257	19	10	292
19000119	4101	Troms	1922	1990	2	0	0	0	0			0	0	0	2	164	26	9	269
19000098	4101	Troms	1923	1990	8	0	0	0	0			0	0	0	2	205	6	10	279
19000099	4101	Troms	1923	1990	10	0	0	0	0			0	0	0	2	231	29	9	272
19000100	4101	Troms	1923	1990	3	0	0	0	0			0	0	0	2	125	19	10	292
19000101	4101	Troms	1923	1990	6	0	0	0	0			0	0	0	2	189	25	9	268
19000002	4101	Troms	1924	1990	1	0	0		0			0	0	0	2	0	1	10	274
19000005	4101	Troms	1924	1990	5	0	0	0	0			0	0	0	2	217	25	9	268
19000018	4101	Troms	1924	1990	7	0	0	0	0			0	0	0	2	333	25	9	268
19000019	4101	Troms	1924	1990	6	0	0	0	0			0	0	0	2	204	4	10	277
19000022	4101	Troms	1924	1990	1	0	0		0			0	0	0	2	140	25	9	268
19000023	4101	Troms	1924	1990	6	0	0	0	0			0	0	0	2	212	30	9	273
19000025	4101	Troms	1924	1990	4	0	0	0	0			0	0	0	2	210	29	9	272
19000027	4101	Troms	1924	1990	6	0	0	0	0			0	0	0	2	190	25	9	268
19000030	4101	Troms	1924	1990	7	0	0	0	0			0	0	0	2	200	19	10	292
19000031	4101	Troms	1924	1990	6	0	0	0	0			0	0	0	2	200	25	9	268
19000034	4101	Troms	1924	1990	6	0	0	0	0			0	0	0	2	224	6	10	279
19000037	4101	Troms	1924	1990	9	0	0	0	0			0	0	0	2	240	27	9	270
19000038	4101	Troms	1924	1990	4	0	0	0	0			0	0	0	2	214	23	10	296
19000164	4101	Troms	1924	1990	5	0	0	0	0			0	0	0	2	240	28	9	271
19000165	4101	Troms	1924	1990	7	0	0	0	0			0	0	0	2	210	20	10	293
19000170	4101	Troms	1924	1990	11	0	0	0	0			0	0	0	2	212	4	10	277
19000175	4101	Troms	1924	1990	1	0	0		0			0	0	0	2	150	25	9	268
19000176	4101	Troms	1924	1990	1	0	0		0			0	0	0	2	180	25	9	268
19000181	4101	Troms	1924	1990	1	0	0		0			0	0	0	2	0	19	10	292
19000183	4101	Troms	1924	1990	2	0	0	0	0			0	0	0	2	214	25	9	268
19000185	4101	Troms	1924	1990	4	0	0	0	0			0	0	0	2	182	26	9	269
19000045	4101	Troms	1925	1990	2	0	0	0	0			0	0	0	2	231	7	10	280
19000046	4101	Troms	1925	1990	2	0	0	0	0			0	0	0	2	183	8	10	281
19000155	4101	Troms	1926	1990	1	0	0		0			0	0	0	2	160	26	9	269
19000156	4101	Troms	1926	1990	1	0	0		0			0	0	0	2	149	30	9	273
19000157	4101	Troms	1926	1990	4	0	0	0	0			0	0	0	2	220	30	9	273
19000141	4101	Troms	1931	1990	10	0	0	0	0			0	0	0	2	231	7	10	280
19000145	4101	Troms	1931	1990	3	0	0	0	0			0	0	0	2	205	1	10	274
19000150	4101	Troms	1931	1990	11	0	0	0	0			0	0	0	2	180	4	10	277
19000048	4101	Troms	1933	1990	6	0	0	0	0			0	0	0	2	212	20	10	293
19000132	4101	Troms	1933	1990	4	0	0	0	0			0	0	0	2	196	28	9	271
19000136	4101	Troms	1933	1990	1	0	0		0			0	0	0	2	150	25	9	268
41010108	4101	Troms	1902	1991	1	0	1		1		0	0	0	1	2	150	8	10	281
41010143	4101	Troms	1902	1991	1	0	0		0			0	0	0	2	148	28	9	271
41010136	4101	Troms	1920	1991	7	1	1	1	1	0	0	5	6	1	2	205	19	10	292
41010032	4101	Troms	1922	1991	1	0	0		0			0	0	0	2	161	29	9	272
41010035	4101	Troms	1922	1991	4	2	2	1	1	1	1	0	2	2	2	219	26	10	299
41010038	4101	Troms	1922	1991	11	2	0	1	0	1		3	5	0	2	198	28	9	271
41010288	4101	Troms	1922	1991	6	1	0	1	0	0		1	2	0	2	182	29	9	272
41010334	4101	Troms	1922	1991	1	0	0		0			0	0	0	2	135	25	9	268
41010343	4101	Troms	1922	1991	9	2	0	1	0	1		3	5	0	2	270	2	10	275
41010358	4101	Troms	1922	1991	3	1	0	1	0	0		0	1	0	2	177	27	9	270
41010361	4101	Troms	1922	1991	1	0	0		0			0	0	0	2	160	26	9	269
41010256	4101	Troms	1923	1991	3	1	0	1	0	0		0	1	0	2	196	25	9	268
41010263	4101	Troms	1923	1991	11	2	0	1	0	1		7	9	0	2	188	28	9	271
41010267	4101	Troms	1923	1991	5	2	2	1	1	1	1	2	4	2	2	0	18	10	291
41010173	4101	Troms	1924	1991	8	1	0	1	0	0		4	5	0	2	0	30	9	273
41010175	4101	Troms	1924	1991	3	0	2	0	1		1	0	0	2	2	220	27	9	270
41010191	4101	Troms	1924	1991	10	2	2	1	1	1	1	3	5	2	2	200	23	10	296
41010198	4101	Troms	1924	1991	3	1	0	1	0	0		0	1	0	2	177	28	9	271
41010207	4101	Troms	1924	1991	3	2	2	1	1	1	1	0	2	2	2	192	30	9	273
41010231	4101	Troms	1924	1991	2	0	0	0	0			0	0	0	2	176	5	10	278
41010389	4101	Troms	1933	1991	1	0	0		0			0	0	0	2	150	5	10	278
41010390	4101	Troms	1933	1991	1	0	2		1		1	0	0	2	2	125	6	10	279
41010393	4101	Troms	1933	1991	7	1	0	1	0	0		4	5	0	2	197	26	9	269
41010007	4101	Troms	1902	1992	10	1	0	1	0	0		12	13	0	2	250	25	9	269
41010008	4101	Troms	1902	1992	1	0	0		0			0	0	0	2	152	25	10	299
41010032	4101	Troms	1902	1992	2	0	0	1	0			0	0	0	2	160	25	9	269
41010328	4101	Troms	1902	1992	2	0	0	0	0			0	0	0	2	200	27	9	271
41010329	4101	Troms	1902	1992	1	0	0		0			0	0	0	2	134	17	10	291
41010333	4101	Troms	1902	1992	16	1	1	1	1	0	0	7	8	1	2	203	19	10	293
41010334	4101	Troms	1902	1992	12	2	2	1	1	1	1	2	4	2	2	200	21	10	295
41010125	4101	Troms	1920	1992	2	1	0	1	0	0		0	1	0	2	200	26	9	270
41010131	4101	Troms	1920	1992	5	2	2	1	1	1	1	4	6	2	2	200	30	10	304
41010133	4101	Troms	1920	1992	3	1	1	1	1	0	0	0	1	1	2	170	14	10	288
41010009	4101	Troms	1922	1992	1	0	0		0			0	0	0	2	165	24	9	268
41010014	4101	Troms	1922	1992	2	1	0	1	0	0		0	1	0	2	204	25	9	269
41010037	4101	Troms	1922	1992	4	2	0	1	0	1		2	4	0	2	250	25	9	269
41010050	4101	Troms	1922	1992	4	2	0	1	0	1		1	3	0	2	212	29	9	273
41010052	4101	Troms	1922	1992	1	0	0		0			0	0	0	2	152	25	9	269
41010055	4101	Troms	1922	1992	9	1	0	1	0	0		4	5	0	2	211	25	9	269
41010062	4101	Troms	1922	1992	10	1	0	1	0	0		6	7	0	2	244	27	9	271
41010063	4101	Troms	1922	1992	1	0	0		0			0	0	0	2	170	25	9	269
41010066	4101	Troms	1922	1992	6	2	0	1	0	1		2	4	0	2	185	29	9	273
41010073	4101	Troms	1922	1992	9	1	0	1	0	0		1	2	0	2	216	1	10	275
41010256	4101	Troms	1922	1992	2	0	2	0	1		1	0	0	4	2	213	18	10	292
41010260	4101	Troms	1922	1992	11	2	0	1	0	1		3	5	0	2	200	11	10	285
41010266	4101	Troms	1922	1992	1	0	1		1		0	0	0	1	2	180	17	10	291
41010276	4101	Troms	1922	1992	10	2	0	1	0	1		6	8	0	2	235	27	9	271
41010288	4101	Troms	1922	1992	10	2	0	1	0	1		6	8	0	2	256	25	9	269
41010289	4101	Troms	1922	1992	1	0	0		0			0	0	0	2	132	16	10	290
41010306	4101	Troms	1922	1992	1	0	0		0			0	0	0	2	156	26	9	270
41010310	4101	Troms	1922	1992	11	1	2	1	1	0	1	10	11	2	2	225	11	10	285
41010314	4101	Troms	1922	1992	2	0	1	0	1		0	0	0	1	2	180	16	10	290
41010316	4101	Troms	1922	1992	2	0	2	0	1		1	0	0	2	2	180	1	10	275
41010321	4101	Troms	1922	1992	1	0	1		1		0	0	0	1	2	175	14	10	288
41010105	4101	Troms	1923	1992	4	1	0	1	0	0		0	1	0	2	175	28	9	272
41010110	4101	Troms	1923	1992	5	2	1	1	1	1	0	3	5	1	2	220	18	10	292
41010115	4101	Troms	1923	1992	2	1	0	1	0	0		0	1	0	2	200	29	9	273
41010117	4101	Troms	1923	1992	1	0	0		0			0	0	0	2	105	14	10	288
41010118	4101	Troms	1923	1992	3	2	2	1	1	1	1	2	4	3	2	175	13	10	287
41010193	4101	Troms	1924	1992	4	2	2	1	1	1	1	2	4	2	2	210	11	10	285
41010194	4101	Troms	1924	1992	1	0	0		0			0	0	0	2	180	27	9	271
41010200	4101	Troms	1924	1992	2	0	2	0	1		1	0	0	2	2	233	30	9	274
41010205	4101	Troms	1924	1992	2	0	0	0	0			0	0	0	2	204	27	9	271
41010207	4101	Troms	1924	1992	1	0	0		0			0	0	0	2	137	0	9	243
41010209	4101	Troms	1924	1992	8	0	0	0	0			0	0	0	2	165	0	9	243
41010210	4101	Troms	1924	1992	1	0	0		0			0	0	0	2	149	0	9	243
41010212	4101	Troms	1924	1992	3	0	1	1	1		0	2	2	1	2	198	12	10	286
41010214	4101	Troms	1924	1992	1	0	0		0			0	0	0	2	156	29	9	273
41010215	4101	Troms	1924	1992	3	1	1	1	1	0	0	1	2	1	2	198	25	10	299
41010216	4101	Troms	1924	1992	10	0	0	1	0			8	8	0	2	274	25	9	269
41010220	4101	Troms	1924	1992	1	0	0		0			0	0	0	2	155	16	10	290
41010235	4101	Troms	1924	1992	1	0	0		0			0	0	0	2	152	13	10	287
